"PrimaryKey","siteid","ProportionCriteriaMet"
"16052416232644662016-09-01","R012XY004ID",1
"16052508080795112016-09-01","R012XY004ID",1
"16052508585240182016-09-01","R012XY046ID",1
"16052609185843192016-09-01","R012XY046ID",1
"16053117322963632016-09-01","R012XY004ID",1
"16060110460198622016-09-01","R012XY004ID",1
"16060114181538402016-09-01","R012XY004ID",1
"16060115534744772016-09-01","R012XY004ID",1
"16060314250053212016-09-01","R012XY007ID",0.714285714285714
"16060413465021592016-09-01","R012XY046ID",1
"16060610221754912016-09-01","R012XY007ID",0.714285714285714
"16060610442056372016-09-01","R012XY046ID",1
"16060614373065012016-09-01","R012XY007ID",0.714285714285714
"16060615251566032016-09-01","R012XY004ID",1
"16060707484924862016-09-01","R012XY007ID",0.714285714285714
"1606070952211482016-09-01","R012XY046ID",1
"16060710220038362016-09-01","R012XY007ID",0.714285714285714
"16060710280455942016-09-01","R012XY004ID",1
"16060710382097102016-09-01","R012XY004ID",1
"16060710475485122016-09-01","R012XY004ID",1
"16060712403339562016-09-01","R012XY007ID",0.714285714285714
"16060807481358102016-09-01","R012XY004ID",1
"16060807581725802016-09-01","R012XY007ID",0.714285714285714
"16060810312433822016-09-01","R012XY007ID",0.714285714285714
"16060908141248442016-09-01","R012XY004ID",1
"16061514121026522016-09-01","R012XY004ID",1
"16061608551597232016-09-01","R012XY004ID",1
"16061612125261632016-09-01","R012XY004ID",1
"16061614243040232016-09-01","R012XY046ID",1
"16061618094724562016-09-01","R012XY004ID",1
"16061710474136072016-09-01","R012XY004ID",1
"16061711174777912016-09-01","R012XY046ID",1
"16061712155268162016-09-01","R012XY004ID",1
"16061713470439062016-09-01","R012XY004ID",1
"16061809245794312016-09-01","R012XY004ID",1
"16061809294271322016-09-01","R012XY004ID",1
"16061815093587332016-09-01","R012XY004ID",1
"16061911211770032016-09-01","R012XY004ID",1
"16061912502884512016-09-01","R012XY004ID",1
"16061913020328982016-09-01","R012XY004ID",1
"16061919372278102016-09-01","R012XY004ID",1
"16062008475768452016-09-01","R012XY004ID",1
"16062009182219542016-09-01","R012XY004ID",1
"1606201027175312016-09-01","R012XY004ID",1
"16062011451732952016-09-01","R012XY004ID",1
"16062109135463532016-09-01","R012XY004ID",1
"16062109461747432016-09-01","R012XY004ID",1
"16062109494876812016-09-01","R012XY004ID",1
"16062112155633542016-09-01","R012XY004ID",1
"16062708330023212016-09-01","R012XY004ID",1
"16062814103759162016-09-01","R012XY004ID",1
"16062910072314412016-09-01","R012XY004ID",1
"16062912254151092016-09-01","R012XY004ID",1
"16062918570678002016-09-01","R012XY004ID",1
"16062919032058022016-09-01","R012XY004ID",1
"16063013313360022016-09-01","R012XY004ID",1
"16070107591132662016-09-01","R012XY004ID",1
"16070517350081222016-09-01","R012XY004ID",1
"16070607494996552016-09-01","R012XY004ID",1
"16070611523696522016-09-01","R012XY004ID",1
"16070612241527032016-09-01","R012XY004ID",1
"16070613164736692016-09-01","R012XY004ID",1
"16070617225612132016-09-01","R012XY004ID",1
"16070707194826632016-09-01","R012XY004ID",1
"16071113092656792016-09-01","R012XY004ID",1
"16071114374835392016-09-01","R012XY004ID",1
"16071211592040772016-09-01","R012XY004ID",1
"16071212565056812016-09-01","R012XY004ID",1
"16071214431417972016-09-01","R012XY004ID",1
"16071308523241012016-09-01","R012XY004ID",1
"1607130933479832016-09-01","R012XY004ID",1
"16071310305864392016-09-01","R012XY004ID",1
"16071313155158832016-09-01","R012XY004ID",1
"16071316531618112016-09-01","R012XY004ID",1
"16071711290162282016-09-01","R012XY004ID",1
"16071717211749802016-09-01","R012XY004ID",1
"16071811464854802016-09-01","R012XY004ID",1
"16071813180678862016-09-01","R012XY004ID",1
"16071907383868692016-09-01","R012XY004ID",1
"16071909100080532016-09-01","R012XY004ID",1
"16071915501336442016-09-01","R012XY004ID",1
"16072118251479642016-09-01","R012XY004ID",1
"16072215013395852016-09-01","R012XY004ID",1
"16072515061787792016-09-01","R012XY046ID",1
"160726083407572016-09-01","R012XY004ID",1
"16072614082573312016-09-01","R012XY007ID",0.714285714285714
"16072708350388592016-09-01","R012XY046ID",1
"16072714152283732016-09-01","R012XY004ID",1
"16072809254297072016-09-01","R012XY004ID",1
"16072815035977672016-09-01","R012XY004ID",1
"16072916270893742016-09-01","R012XY004ID",1
"1607301013294242016-09-01","R012XY004ID",1
"16073015342594842016-09-01","R012XY004ID",1
"16073112464748282016-09-01","R012XY004ID",1
"16080110513098502016-09-01","R012XY004ID",1
"16080116082484792016-09-01","R012XY004ID",1
"16080209330929522016-09-01","R012XY004ID",1
"16080216124728622016-09-01","R012XY004ID",1
"16080309360676362016-09-01","R012XY046ID",1
"16080913491484122016-09-01","R012XY004ID",1
"16081013332294712016-09-01","R012XY004ID",1
"17050212593660562017-09-01","R012XY007ID",0.714285714285714
"1705031202255352017-09-01","R012XY007ID",0.571428571428571
"1705031749477082017-09-01","R012XY046ID",1
"17050814514294072017-09-01","R012XY009ID",0.714285714285714
"17050909534673182017-09-01","R012XY004ID",1
"17050910083974932017-09-01","R012XY046ID",1
"17050912440492072017-09-01","R012XY007ID",0.714285714285714
"1705101025506052017-09-01","R012XY046ID",1
"17051109210611402017-09-01","R012XY046ID",1
"17051509372921692017-09-01","R012XY004ID",1
"17051608503772942017-09-01","R012XY004ID",1
"17051613423177612017-09-01","R012XY046ID",1
"17051615391871452017-09-01","R012XY046ID",1
"17051709320239452017-09-01","R012XY004ID",1
"17051716080265962017-09-01","R012XY046ID",1
"17051716092824572017-09-01","R012XY004ID",1
"17051716103846422017-09-01","R012XY004ID",1
"17051718394389992017-09-01","R012XY046ID",1
"17051812483993032017-09-01","R012XY004ID",1
"17051813201246852017-09-01","R012XY046ID",1
"17051816081066412017-09-01","R012XY004ID",1
"1705190930187892017-09-01","R012XY004ID",1
"17051910085739442017-09-01","R012XY004ID",1
"17051910541911862017-09-01","R012XY004ID",1
"17051911190357242017-09-01","R012XY004ID",1
"17051915410220252017-09-01","R012XY004ID",1
"17052009255096492017-09-01","R012XY004ID",1
"17052009274213032017-09-01","R012XY004ID",1
"17052016185036182017-09-01","R012XY004ID",1
"17052017362357652017-09-01","R012XY004ID",1
"17052112161011552017-09-01","R012XY046ID",1
"17052209271858422017-09-01","R012XY046ID",1
"17052209360392582017-09-01","R012XY004ID",1
"17052211143855092017-09-01","R012XY004ID",1
"17052212384480562017-09-01","R012XY004ID",1
"170523102659362017-09-01","R012XY004ID",1
"17052311592513092017-09-01","R012XY004ID",1
"17052312464894102017-09-01","R012XY046ID",1
"17052313410041032017-09-01","R012XY004ID",1
"17052315133290062017-09-01","R012XY004ID",1
"17052408474684502017-09-01","R012XY004ID",1
"17052409120513612017-09-01","R012XY004ID",1
"17052410380894052017-09-01","R012XY004ID",1
"17052410480635972017-09-01","R012XY004ID",1
"17052510104637522017-09-01","R012XY004ID",1
"17052511415070442017-09-01","R012XY004ID",1
"17052910062616822017-09-01","R012XY004ID",1
"17053007461857922017-09-01","R012XY004ID",1
"17053011023369962017-09-01","R012XY046ID",1
"17053012333316382017-09-01","R012XY004ID",1
"17053014182183582017-09-01","R012XY046ID",1
"17053014213583552017-09-01","R012XY004ID",1
"17053112171795122017-09-01","R012XY004ID",1
"17060109012716722017-09-01","R012XY004ID",1
"17060109022311672017-09-01","R012XY004ID",1
"17060109043824182017-09-01","R012XY004ID",1
