"PrimaryKey","siteid","ProportionCriteriaMet"
"12052207302216912012-09-01","R010XB028OR",1
"12052207302216912015-09-01","R010XB046OR",0.857142857142857
"12052207302216912016-09-01","R010XB046OR",0.857142857142857
"12052207302216912021-09-01","R010XB028OR",1
"12052208035338412012-09-01","R010XC040OR",1
"15022607494257902015-09-01","R010XB028OR",0.857142857142857
"15022607494257902016-09-01","R010XB028OR",0.857142857142857
"15022607494257902021-09-01","R010XB028OR",1
"15022607504965192015-09-01","R010XB028OR",1
"15022607504965192016-09-01","R010XB081OR",1
"15022607504965192021-09-01","R010XB028OR",1
"16042916302243782016-09-01","R010XA019OR",0.857142857142857
"16050213501846962016-09-01","R010XB024OR",1
"16050214052680062016-09-01","R010XC056OR",1
"16050214112059682016-09-01","R010XB024OR",1
"16050215241881952016-09-01","R010XB081OR",1
"1605021650027112016-09-01","R010XB024OR",1
"16050309343534832016-09-01","R010XC069OR",0.714285714285714
"16050315513526972016-09-01","R010XA002OR",0.857142857142857
"16050418160464492016-09-01","R010XB081OR",1
"1605050810378382016-09-01","R010XA007OR",0.75
"16050515212852002016-09-01","R010XC020OR",0.833333333333333
"16050912022080162016-09-01","R010XB024OR",1
"16050916140782052016-09-01","R010XB081OR",1
"16051001270466372016-09-01","R010XB081OR",1
"16051008082350932016-09-01","R010XB081OR",1
"16051009311338882016-09-01","R010XA007OR",0.875
"16051013322110932016-09-01","R010XB081OR",1
"16051016153765762016-09-01","R010XB081OR",1
"16051020032666412016-09-01","R010XB081OR",1
"16051102471082142016-09-01","R010XB081OR",1
"16051112225784352016-09-01","R010XB081OR",1
"16051113463711842016-09-01","R010XA007OR",0.75
"16051115190045522016-09-01","R010XB081OR",1
"16051203511785582016-09-01","R010XA021OR",1
"16051308490442312016-09-01","R010XB024OR",1
"16051320263879762016-09-01","R010XB024OR",1
"1605140831113892016-09-01","R010XA022OR",0.714285714285714
"1605142203355572016-09-01","R010XB024OR",1
"16051508521193772016-09-01","R010XB024OR",1
"16051521572256222016-09-01","R010XB024OR",1
"16051608371954152016-09-01","R010XB024OR",1
"16051613374366312016-09-01","R010XB024OR",1
"16051617441510562016-09-01","R010XA007OR",0.75
"16051701035235602016-09-01","R010XB024OR",1
"16051709072661002016-09-01","R010XB081OR",1
"16051711205824712016-09-01","R010XB024OR",1
"1605171224567562016-09-01","R010XA007OR",0.875
"16051716205812412016-09-01","R010XB081OR",1
"16051721513030882016-09-01","R010XB024OR",1
"16051808173327132016-09-01","R010XB081OR",1
"16051811444567042016-09-01","R010XC055OR",0.666666666666667
"16051813544113122016-09-01","R010XC052OR",0.833333333333333
"16051814295620282016-09-01","R010XB081OR",1
"16051815381121332016-09-01","R010XB081OR",1
"16051819002568742016-09-01","R010XC043OR",0.75
"16051909451946092016-09-01","R010XB081OR",1
"1605191205454402016-09-01","R010XB081OR",1
"16051917474930652016-09-01","R010XB081OR",1
"16052009342290372016-09-01","R010XB081OR",1
"16052312251899262016-09-01","R010XB081OR",1
"16052406561512022016-09-01","R010XA023OR",0.75
"16052409492819072016-09-01","R010XB081OR",1
"16052411094195712016-09-01","R010XA007OR",0.75
"16052412151229862016-09-01","R010XB081OR",1
"16052413540297902016-09-01","R010XB081OR",1
"16052414535965972016-09-01","R010XB027OR",0.75
"16052415032325192016-09-01","R010XA007OR",0.75
"16052415053251432016-09-01","R010XB081OR",1
"16052416250076892016-09-01","R010XC047OR",0.666666666666667
"1605250749533242016-09-01","R010XB081OR",1
"16052507505145932016-09-01","R010XB081OR",1
"16052508341521742016-09-01","R010XB081OR",1
"16052508360988312016-09-01","R010XB081OR",1
"16052510475234622016-09-01","R010XB081OR",1
